 06-08-2023 22:21:37:547 [pid=3090 tid=3090] NOTICE  cufio-drv:705 running in compatible mode
 06-08-2023 22:21:37:547 [pid=3090 tid=3090] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 06-08-2023 22:21:37:604 [pid=3090 tid=3090] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 07-08-2023 18:47:49:77 [pid=1032 tid=1032] NOTICE  cufio-drv:705 running in compatible mode
 07-08-2023 18:47:49:78 [pid=1032 tid=1032] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 07-08-2023 18:47:49:135 [pid=1032 tid=1032] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 07-08-2023 20:53:08:367 [pid=48029 tid=48029] NOTICE  cufio-drv:705 running in compatible mode
 07-08-2023 20:53:08:368 [pid=48029 tid=48029] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 07-08-2023 20:53:08:445 [pid=48029 tid=48029] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 08-08-2023 21:23:37:324 [pid=1527 tid=1527] NOTICE  cufio-drv:705 running in compatible mode
 08-08-2023 21:23:37:324 [pid=1527 tid=1527] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 08-08-2023 21:23:37:386 [pid=1527 tid=1527] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 12-08-2023 19:18:24:896 [pid=794 tid=794] NOTICE  cufio-drv:705 running in compatible mode
 12-08-2023 19:18:24:897 [pid=794 tid=794] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 12-08-2023 19:18:24:958 [pid=794 tid=794] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 12-08-2023 19:30:12:737 [pid=10123 tid=10123] NOTICE  cufio-drv:705 running in compatible mode
 12-08-2023 19:30:12:738 [pid=10123 tid=10123] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 12-08-2023 19:30:12:794 [pid=10123 tid=10123] ERROR  cufio-topo-udev:431 no device entries present in platform topology
